id,state,abbr,poverty,noDoctor,0.403926695
1,Alabama,AL,19.3,17.4,
2,Alaska,AK,11.2,11.9,
3,Arizona,AZ,18.2,15.5,
4,Arkansas,AR,18.9,18.2,
5,California,CA,16.4,13.5,
6,Colorado,CO,12,13.1,
7,Connecticut,CT,10.8,11.3,
8,Delaware,DE,12.5,10.8,
9,District of Columbia,DC,17.7,10.5,
10,Florida,FL,16.5,17.6,
11,Georgia,GA,18.3,19,
12,Hawaii,HI,11.4,8.7,
13,Idaho,ID,14.8,15.8,
14,Illinois,IL,14.4,12.4,
15,Indiana,IN,15.2,15.1,
16,Iowa,IA,12.2,8.8,
17,Kansas,KS,13.6,12.5,
18,Kentucky,KY,19.1,15.9,
19,Louisiana,LA,19.8,17.5,
20,Maine,ME,14.1,10.9,
21,Maryland,MD,10.1,10.1,
22,Massachusetts,MA,11.6,8.3,
23,Michigan,MA,16.2,14.6,
24,Minnesota,MN,11.5,9.2,
25,Mississippi,MS,21.5,19.4,
26,Missouri,MO,15.5,13.7,
27,Montana,MT,15.4,11.9,
28,Nebraska,NE,12.4,11.8,
29,Nevada,NV,15.2,17.3,
30,New Hampshire,NH,9.2,11.1,
31,New Jersey,NJ,11.1,14,
32,New Mexico,NM,21.3,17.2,
33,New York,NY,15.9,14,
34,North Carolina,NC,17.2,16.2,
35,North Dakota,ND,11.5,7,
36,Ohio,OH,15.8,13.1,
37,Oklahoma,OK,16.6,15,
38,Oregon,OR,16.6,14.4,
39,Pennsylvania,PA,13.6,11.8,
40,Rhode Island,RI,14.3,11.9,
41,South Carolina,SC,18,18.1,
42,South Dakota,SD,14.2,10,
43,Tennessee,TN,18.3,15.5,
44,Texas,TX,17.2,17.6,
45,Utah,UT,11.7,14.3,
46,Vermont,VT,12.2,9.1,
47,Virginia,VA,11.8,13.1,
48,Washington,WA,13.2,12.3,
49,West Virginia,WV,18.3,16.5,
50,Wisconsin,WI,13.2,10.6,
51,Wyoming,WY,11.2,11.8,
52,Puerto Rico,PR,46.2,12.2,
,,,,,
,,,,,
,,,,,
